Player1,Player2,Agreement_Rounds,Total_Rounds,Agreement_Rate
cambodia__hun_sen,malaysia__anwar_ibrahim,1,40,0.0250
cambodia__hun_sen,brunei__hassanal_bolkiah,1,40,0.0250
cambodia__hun_sen,singapore__lee_hsien_loong,1;18,40,0.0500
vietnam__nguyen_xuan_phuc,indonesia__joko_widodo,24,40,0.0250
vietnam__nguyen_xuan_phuc,japan__shigeru_ishiba,1;39,40,0.0500
vietnam__nguyen_xuan_phuc,japan__shinzo_abe,1;17,40,0.0500
vietnam__nguyen_xuan_phuc,taiwan__lai_ching_te,1;12,40,0.0500
vietnam__nguyen_xuan_phuc,taiwan__tsai_ing_wen,1;2;3;4,40,0.1000
vietnam__nguyen_xuan_phuc,philippines__ferdinand_marcos_jr,1,40,0.0250
vietnam__nguyen_xuan_phuc,malaysia__anwar_ibrahim,1;4,40,0.0500
vietnam__nguyen_xuan_phuc,brunei__hassanal_bolkiah,1,40,0.0250
vietnam__nguyen_xuan_phuc,singapore__lee_hsien_loong,1;2;3;4;5;21;25,40,0.1750
indonesia__joko_widodo,japan__shigeru_ishiba,,40,0.0000
indonesia__joko_widodo,japan__shinzo_abe,,40,0.0000
indonesia__joko_widodo,taiwan__lai_ching_te,,40,0.0000
indonesia__joko_widodo,taiwan__tsai_ing_wen,39,40,0.0250
indonesia__joko_widodo,philippines__ferdinand_marcos_jr,39,40,0.0250
indonesia__joko_widodo,malaysia__anwar_ibrahim,10,40,0.0250
indonesia__joko_widodo,brunei__hassanal_bolkiah,7;31,40,0.0500
indonesia__joko_widodo,singapore__lee_hsien_loong,,40,0.0000
japan__shigeru_ishiba,japan__shinzo_abe,1,40,0.0250
japan__shigeru_ishiba,taiwan__lai_ching_te,1,40,0.0250
japan__shigeru_ishiba,taiwan__tsai_ing_wen,1,40,0.0250
japan__shigeru_ishiba,philippines__ferdinand_marcos_jr,1,40,0.0250
japan__shigeru_ishiba,malaysia__anwar_ibrahim,1,40,0.0250
japan__shigeru_ishiba,brunei__hassanal_bolkiah,1,40,0.0250
japan__shigeru_ishiba,singapore__lee_hsien_loong,1;33,40,0.0500
japan__shinzo_abe,taiwan__lai_ching_te,1,40,0.0250
japan__shinzo_abe,taiwan__tsai_ing_wen,1,40,0.0250
japan__shinzo_abe,philippines__ferdinand_marcos_jr,1,40,0.0250
japan__shinzo_abe,malaysia__anwar_ibrahim,1,40,0.0250
japan__shinzo_abe,brunei__hassanal_bolkiah,1,40,0.0250
japan__shinzo_abe,singapore__lee_hsien_loong,1,40,0.0250
taiwan__lai_ching_te,taiwan__tsai_ing_wen,1,40,0.0250
taiwan__lai_ching_te,philippines__ferdinand_marcos_jr,1,40,0.0250
taiwan__lai_ching_te,malaysia__anwar_ibrahim,1;20,40,0.0500
taiwan__lai_ching_te,brunei__hassanal_bolkiah,1,40,0.0250
taiwan__lai_ching_te,singapore__lee_hsien_loong,1,40,0.0250
taiwan__tsai_ing_wen,philippines__ferdinand_marcos_jr,1;39,40,0.0500
taiwan__tsai_ing_wen,malaysia__anwar_ibrahim,1;4,40,0.0500
taiwan__tsai_ing_wen,brunei__hassanal_bolkiah,1,40,0.0250
taiwan__tsai_ing_wen,singapore__lee_hsien_loong,1;2;3;4,40,0.1000
philippines__ferdinand_marcos_jr,malaysia__anwar_ibrahim,1,40,0.0250
philippines__ferdinand_marcos_jr,brunei__hassanal_bolkiah,1;6;40,40,0.0750
philippines__ferdinand_marcos_jr,singapore__lee_hsien_loong,1,40,0.0250
malaysia__anwar_ibrahim,brunei__hassanal_bolkiah,1;28,40,0.0500
malaysia__anwar_ibrahim,singapore__lee_hsien_loong,1;4,40,0.0500
brunei__hassanal_bolkiah,singapore__lee_hsien_loong,1,40,0.0250
