affiliation,speeches
Lake Chad Basin Commission,2
Network on Peace and Security for Women in the ECOWAS Region,2
Enough Project (Organization : United States),2
B'Tselem (Organization : Jerusalem),2
Afia Mama (Organization : Democratic Republic of Congo),2
Zanmi Lasante (Organization : Haiti),2
Joint UNHCR/International Organization for Migration,2
Corporación de Investigación y Acción Social y Económica (Colombia),2
EcoPeace-Middle East Environmental NGO Forum,2
Center for Civilians in Conflict (United States),2
Russian Centre for the Reconciliation of Opposing Sides in the Syrian Arab Republic,2
Physicians for Human Rights (United States),2
TRIAL International (Organization : Switzerland),2
Gisha (Organization : Israel),2
Fondasyon Je Klere (Organization : Haiti),2
Review Conference of the Parties to the Treaty on the Non-Proliferation of Nuclear Weapons (10th : 2022 : New York),2
Arab Human Rights Foundation (Yemen),2
Syrian Women's Political Movement,2
Syrian Arab Red Crescent (Organization),2
Strategic Initiative for Women in the Horn of Africa (Organization),2
Preparatory Commission for the Comprehensive Nuclear Test-Ban Treaty Organization,2
Sana'a Center for Strategic Studies,2
US/Middle East Project (Organization : New York),2
EcoPeace Middle East (Organization),2
University of Oxford,2
"Coalition des organisations de la société civile d'Afrique centrale pour la préservation de la paix, la prévention des conflits, la resolution et la transformation des crises",2
Volontariat pour le développement d'Haïti (Organization),2
Institute for Security Studies (South Africa),2
Rossiiskoe aktsionernoe obshchestvo "Gazprom",2
Kofi Annan International Peacekeeping Training Centre (Ghana),2
Russkaia pravoslavnaia tserkov,2
Ukrainian Trade Union of Law Workers,2
Comunes (Political party : Colombia),2
Amani Africa (Organization),2
Union for the Mediterranean,2
Darfur Women Action Group,2
White Helmets (Organization : Syrian Arab Republic),2
New York (United States: State),1
New York (N.Y.),1
Turks in Cyprus,1
Movimento Popular de Libertação de Angola,1
International Defence and Aid Fund,1
National Liberation Front of Angola,1
Popular Movement for the Liberation of Angola,1
Agency for the Prohibition of Nuclear Weapons in Latin America,1
Anti-Apartheid Movement,1
the South West Africa People's Organization,1
People's Republic of Angola,1
Christian Institute of Southern Africa,1
Frente Polisario,1
Halhoul (Palestine),1
PLO,1
Northern Cyprus,1
South African Council of Churches,1
the Libyan Arab Jamahiriya,1
National People's Party of South Africa,1
Democratic Party (South Africa),1
South African Communist Party,1
International Conference on the Former Yugoslavia,1
World Campaign against Military and Nuclear Collaboration with South Africa,1
Organization of the Islamic Conference to the United Nations,1
Islamic Group at the United Nations,1
Facilitator of the Inter-Congolese Dialogue,1
Conselho Nacional da Resistência Timorense,1
Permanent Observer of Switzerland,1
United Nations; Implementation Monitoring Committee for the Arusha Peace and Reconciliation Agreement for Burundi,1
Mano River Union,1
Réseau des femmes pour la défense des droits et la paix,1
Coordination Centre of Serbia and Montenegro and of the Republic of Serbia for Kosovo and Metohija,1
International Organization of la Francophonie,1
Independent Inquiry Committee into the United Nations Oil-for-Food Programme,1
European Centre for Conflict Prevention,1
Network of African Women for Peace,1
Inter-Parliamentary Union,1
European Commission,1
Community of Portuguese Speaking Countries,1
Association Dushirehamwe (Burundi),1
Rede Feto (Timor-Leste),1
International Save the Children Alliance,1
World Customs Organization,1
International Maritime Organization,1
Pacific Islands Forum,1
Shanghai Cooperation Organization,1
"Civil Society Advisory Group to the United Nations on Women, Peace and Security",1
Caribbean Community,1
International Humanitarian Fact-Finding Commission,1
Côte d'Ivoire,1
"Femmes-Afrique-Solidarité; NGO Working Group on Women, Peace and Security",1
Arab Maghreb Union,1
Intergovernmental Action Group against Money Laundering in West Africa,1
Africa Progress Panel,1
Women's Initiatives for Gender Justice,1
Associated Press,1
Agence France-presse,1
"National Broadcasting Company, inc. (New York)",1
"Guardian (London, England)",1
Liaison Office (Organization : Afghanistan),1
Medecins Sans Frontieres,1
Croix-Rouge française,1
Gbowee Peace Foundation Africa,1
Paix pour l'enfance (Organization : Democratic Republic of the Congo),1
Catholic Church,1
Centre national de la recherche scientifique (France),1
West Africa Action Network on Small Arms,1
Reporters sans frontières (Association),1
Facilitation for Peace and Development (Uganda),1
Cook Islands,1
Voice of Libyan Women (Organization),1
Freedom Fund (Organization),1
Oxfam America,1
Organization of American States,1
Islamic Research Academy (Cairo),1
Microsoft Corporation,1
Secretariat of the Convention to Combat Desertification,1
Association des Femmes Peules Autochtones du Tchad,1
"NGO Working Group on Women, Peace and Security; MADRE (Organization)",1
Global High-Level Panel on Water and Peace (Switzerland),1
"Strategic Foresight Group (Bombay, India)",1
International Institute for Justice and the Rule of Law (Malta),1
DHL Global Business Services,1
Missile Technology Control Regime,1
Nuclear Suppliers Group,1
Asha Gelle Foundation (Somalia),1
Organization for Democracy and Economic Development - GUAM,1
International Labour Organization,1
Common Cause Network (Organization : Democratic Republic of the Congo),1
Women Refugee Route (Organization : Denmark),1
Hudson Institute,1
Network of Civil Society Organizations in Borno State,1
OPCW/UN Joint Investigative Mechanism,1
High Peace Council (Afghanistan),1
Encadrement des femmes indigènes et des ménages vulnérables (Organization : Democratic Republic of the Congo),1
Adelphi (Organization : Berlin),1
"Groupe de recherche, d'étude et de formation femme-action (Organization : Mali)",1
Kaladan Press (Organization),1
Liberty and Justice (Organization : Liberia),1
World Young Women's Christian Association,1
URU (Organization : Central African Republic),1
"Centre for Inclusive Governance, Peace and Justice (Organization : South Sudan)",1
International Indigenous Peoples Forum on Climate Change,1
Pacific Small Island Developing States,1
Synergy of Women for Victims of Sexual Violence (Organization : Democratic Republic of the Congo),1
Cross Sector Task Force for the Implementation of Security Council Resolution 1325 (2000) (Iraq),1
Rien sans les femmes (Organization : Democratic Republic of the Congo),1
PAIMAN Alumni Trust (Organization : Pakistan),1
Keeping Children Safe (Organization : United Kingdom),1
Community Empowerment for Progress Organization (South Sudan),1
Women's Centre for Legal Aid and Counselling (Jerusalem),1
Global Initiative Against Transnational Organized Crime,1
Congolese Association for Access to Justice,1
Sahel Alliance,1
WMO,1
Hope Restoration South Sudan (Organization),1
Afghan Women's Network,1
"Harvard Law School (Cambridge, Mass.)",1
Food for Humanity (Organization : Yemen),1
International Forum for the Challenges of Peace Operations,1
HAKI Africa (Organization : Kenya),1
Afghans for Progressive Thinking (Organization),1
Women's International League for Peace and Freedom,1
Syria Bright Future (Organization),1
Families for Freedom (Organization : Syrian Arab Republic),1
Geneva Academy of International Humanitarian Law and Human Rights,1
Somali Women Development Centre,1
Lawyers for Justice in Libya,1
Naweza (Organization : Kenya),1
"George Washington University (Washington, D.C.)",1
South African Women in Dialogue,1
Zanele Mbeki Development Trust,1
FemWise-Africa (Network of African Women in Conflict Prevention and Mediation),1
Republic of Cote D’Ivoire,1
Association of African Women for Research and Development,1
Somalia Youth Development Network,1
Syrian Women's League,1
Center for Civil Society and Democracy (Organization),1
"Commission for the Clarification of Truth, Coexistence and Non-repetition",1
Foundation for Human Rights (South Africa),1
Stockholm International Peace Research Institute,1
Municipal Association of Women (Organization : Colombia),1
Global Coalition to Protect Education from Attacks,1
Nigerian Youth Parliament,1
"Coalition des femmes leaders nord, sud et centre du Mali",1
SOS Center for Youth Capabilities Development (Yemen),1
Organization for Responsive Governance (South Sudan),1
Ngaliema Clinic (Kinshasa),1
Réseau Ivoirien pour la défense des droits de l'enfant et de la femme (Côte d'Ivoire),1
Action against Hunger (Organization),1
Ir Amim (Organization : Jerusalem),1
Somali National Women's Organization,1
Afghan Institute for Strategic Studies,1
Community Development Association (Sudan),1
Malala Fund (Organization),1
Ma'rib Girls Foundation for Development (Yemen),1
Syria Relief and Development (Organization),1
CTBTO Youth Group,1
Sawa for Development and Aid (Organization : Lebanon),1
Somali Women's Studies Centre,1
Jerusalem Legal Aid and Human Rights Center,1
Amal-Tikva (Organization),1
Policité (Firm : Port-au-Prince),1
Sauti Ya Mama Mukongomani (Organization : Democratic Republic of the Congo),1
Regional Centre on Small Arms and Light Weapons in the Great Lakes Region and the Horn of Africa,1
Small Arms Survey,1
Red Mariposas de Alas Nuevas Construyendo Futuro (Organization : Colombia),1
Consejo Regional Indígena del Cauca (Organization : Colombia),1
Conseil national de la jeunesse centrafricaine,1
Syrian National Conference (Organization),1
Somali Women's Leadership Initiative,1
Charmaghz (Organization : Afghanistan),1
Control Arms (Organization),1
Iraqi Women's Network,1
Libyan Political Dialogue Forum,1
African Women Leaders Network,1
Youth Association for Active Citizenship and Democracy (Mali),1
Sheba Youth Foundation for Development (Yemen),1
Women and Children Legal Research Foundation (Afghanistan),1
Afghan Women Skills Development Centre,1
Release Me Project (Syrian Arab Republic),1
Réseau de femmes opératrices économiques dans la région de Ségou (Mali),1
Women in Law and Development in Africa,1
La Strada Ukraine (Organization),1
CARE (Organization : South Sudan),1
Huquqyat (Syrian Arab Republic),1
Right to Protection (Organization : Ukraine),1
Rights and Resources Initiative,1
Gro Intelligence (Firm),1
Advox (Organization),1
"McGill University (Montréal, Canada)",1
Musalaha (Organization),1
Parents Circle - Families Forum (Organization),1
Ukrainian Women's Fund (Organization),1
Sesame Workshop (Organization),1
Mali Musso (Organization),1
NGO Forum Northwest Syria,1
Centre for Strategic Communication and Information Security (Ukraine),1
Google (Firm),1
Réseau pour le leadership de la femme en Centrafrique (Central African Republic),1
VOICE Amplified (Organization),1
Fezzan Libya Organization,1
Female Solidarity for Integrated Peace and Development (Organization : Democratic Republic of Congo),1
Syrian Emergency Task Force,1
Alliance for Peace and Security (Niger),1
Similar Ground (Organization : Uganda),1
Center for Civil Liberties (Ukraine),1
Center for Geostrategic Studies (Serbia),1
Sudan Social Development Organization,1
Syrian Center for Media and Freedom of Expression,1
Angaza Institute (Democratic Republic of the Congo),1
Institut français des relations internationales (Paris),1
Asociación de Campesinos del San Juan (Colombia),1
Zan Times (Firm : Afghanistan),1
Lutte pour le changement (Organization : Democratic Republic of the Congo),1
Haïti Liberté (Firm),1
Instancia Especial de Alto Nivel Pueblos Étnicos (Colombia),1
Association Protection Sahel,1
Iraqi Health and Social Care Organization,1
Global Center on Cooperative Security,1
Pacific Community (Organization),1
Freedom Now (United States),1
Rossiya Segodnya (Russian Federation),1
King's College London,1
Enda Energie (Organization : Senegal),1
Asuda for Combating Violence Against Women (Organization : Iraq),1
Réseau des organisations féminines pour la stabilisation du bassin du Lac Tchad,1
Réseau des jeunes leaders pour la gestion durable des écosystèmes forestiers et humides d'Afrique Centrale,1
CGIAR,1
Association IMAD pour la jeunesse et la paix,1
Washm Center for Women's Studies (Libya),1
Jeunesse en marche pour le développement en Centrafrique (Association),1
School of Leadership (Afghanistan),1
Arab American Institute,1
The Grayzone (Firm),1
Liga Internacional de Mujeres por la Paz y Libertad (Colombia),1
Women's League of Burma,1
Anthropic (Firm),1
Chinese Academy of Sciences,1
Alliance of Civilizations,1
Edesia (Organization),1
IMPACT - Civil Society Research and Development (Organization),1
Abductees' Mothers Association,1
Women Now for Development (Organization : Syrian Arab Republic),1
Regional Center for Human Rights (Ukraine),1
Save Ukraine (Organization),1
Farida Global Organization,1
Goldman Sachs (Firm),1
Mastercard (Firm),1
Group of Friends of Accountability,1
Iraq Foundation,1
Fundación para la Conservación y el Desarrollo Sostenible (Colombia),1
Concertation des collectifs des associations féminines de la région des Grands-Lacs,1
University of Notre Dame,1
Instituto Rio Branco (Brazil),1
Palestine Red Crescent Society,1
New Development Bank,1
Sustainable Development Solutions Network,1
"Harvard University (Cambridge, Mass.)",1
Women in Action for Women (Organization),1
Solidarité féminine pour la paix et le développement intégral (Organization),1
Women's Institute for Alternative Development (Trinidad and Tobago),1
Rawadari (Organization),1
"Carnegie Endowment for International Peace (Washington, D.C.)",1
Secretariat of the United Nations Framework Convention on Climate Change,1
Médecins sans frontières (Association),1
Afghanistan Future Thought Forum (Organization),1
"Tufts University (Medford, Mass.)",1
Global Partnership for the Prevention of Armed Conflict,1
Vienna Center for Disarmament and Non-Proliferation,1
Authentique Memorial Empowerment Foundation,1
Colombia Diversa (Organization),1
Itar Foundation for Social Development (Yemen),1
"MENA Coalition for Youth, Peace and Security",1
Femmes Engagées pour la Paix en Afrique,1
Malteser International,1
International Youth Organization for Ibero-America,1
Sudan Family Planning Association,1
CyberPeace Institute,1
Leeds Beckett University,1
Confluence Advisory (Organization),1
University of Pretoria,1
Independent Commission for Peace and National Cohesion (Sierra Leone),1
Group of Seven Plus,1
Schneider Children's Medical Center of Israel,1
Fonds pour les femmes congolaises,1
Change Your World DRC,1
"Libyan Women, Peace and Security Advisory Group",1
Jumaan Trading and Investment Company (Yemen),1
"Corporación Red Nacional de Mujeres Comunales, Comunitarias, Indígenas y Campesinas de la República de Colombia",1
Université de Lausanne,1
Ecole polytechnique fédérale de Lausanne,1
Geneva Centre for the Democratic Control of Armed Forces,1
Réseau National de Défense des Droits Humains (Haiti),1
Women's Peace Network (Myanmar),1
Youth Citizens Observers Network (Sudan),1
"Global Policy Institute (Washington, D.C.)",1
Ascension (Organization : United States),1
Les Centres GHESKIO (Haiti),1
Madaniya (Organization : Syrian Arab Republic),1
Humanitarian Outcomes (Organization),1
Nora Organization,1
Regional Centre for Human Rights (Ukraine),1
Chemical Violations Center of Syria,1
AIDPROFEN (Organization : Democratic Republic of the Congo),1
European Institute of Peace,1
Digital Citizen Fund (Organization : Afghanistan),1
Libya Crimes Watch (Organization),1
Action for Sama (Organization : Syrian Arab Republic),1
Supreme Negotiating Committee (Syria),1
Israel Policy Forum (United States),1
Meta (Firm),1
Stanford University,1
PAEMA,1
Washington Institute for Near East Policy,1
